,Comune,Come dici grembiule?,Come dici maiale?,Come dici ciabatta?,Come dici orologio?,Come dici cotechino grigliato?,Come dici tasca?,Come dici ragnatela?,Come dici talpa?,Come dici coperchio?,Come dici Fiammifero?,Come dici Imbuto?,Come dici Roncola?,Come dici Pop Corn?,Come dici Sasso?,Come dici Gallina?,Come dici Albicocca?,Come dici Briciole?,Come dici Panettiere?,Come dici Macellaio?,Come dici Libellula?,Come dici Pettegola?,Come dici Scapolo?,Come dici l'Asso di Bastoni?,Come dici l'Asso di Coppe?,Come dici Ombelico?,Come dici Bagnato?,Come dici l'Asso di Ori?,Come dici l'Asso di Spade?,Come dici Fradicio?
32,Borgo di Terzo,bigaröla,Sunì,sibra,Relòi,Strinù,Scarsèla,Taramora ,Nessun Dato,Coèrcc,Solferì,Nessun Dato,Podet,Nessun Dato,Plòch,Poia,Albicòch,Nessun Dato,Fornér,Macelér,Nessun Dato,petònega,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
33,Bossico,bigaröl,Hi aspirato,Nessun Dato,Leròi,Nessun Dato,Nessun Dato,Telemora,Nessun Dato,Nessun Dato,Solferì,Turtaröl,Podet,Nessun Dato,Plòch,Nessun Dato,Nessun Dato,Migole,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Pöt,Nessun Dato,Nessun Dato,Nessun Dato,Méss,Nessun Dato,Nessun Dato,Bagnàt
34,Bottanuco,bigarla,Pursèl,sébra,Urlòi,Cudeghì,Sacòcia,Tiramola,topinéra,Coèrcc,Solferì,Pedriöl,Pighess,s-cioparöle,Sàss,Poia,Mignaga,Gandaie,Fornér,Macelér,becaöcc,petònega,Barba,ol vincerai,ol pisì,butù,Bagnàt,ol borla,l'ass de spade,Maserét
35,Bracca,bigaröla,Porsèl,Seber ,Nessun Dato,Codeghì,Scarsèla,Tilamora,tópa,Coèrcc,Solfanèl,Pedriöl,Corlass,Nessun Dato,Nessun Dato,Poia,Bignaga,Migole,Fornér,Macelér,Nessun Dato,tofa,Pötvecc,Nessun Dato,Nessun Dato,butù,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
36,Branzi,Nessun Dato,Porsèl,sibra,Nessun Dato,Cudeghì,Scarsèla,Talamora,tópa,Coèrcc,Solfanèl,Pedriöl,Fols,Nessun Dato,Corna,Galina,Nessun Dato,Migole,Panéter ,Bechér,becaöcc,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,butù,Bagnàt,Nessun Dato,Nessun Dato,Bagnàt
37,Brembate,bigarla,Porsèl,sébra,Orolòi,Strinù,Sacòcia,Tiramola,tarfù,Coèrcc,Solferì,Pedriöl,Pighess,culumbine,Sàss,Poia,Mignaga,Fregoie,Prestinér,Bechér,scanaöcc,petònega,Marèll,l'ass de bastù,ol pisì,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
38,Brembate di Sopra,bigaröla,Sunì,sibra,Urlòi,Cudeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Pigassa,s-cioparöle,Sàss,Poia,Mignaga,Migole,Fornér,Macelér,becaöcc,petònega,Barba,ol vincerai,ol pisì,butù,Bagnàt,la borla,l'ass de spade,Maserét
39,Brignano Gera d'Adda,bigaröla,Pursèl,saàta,Orolòc,Strinù,Sacòcia,Tiramola,tópa,Coèrcc,Solfanèl,Nessun Dato,Pighess,s-cioparöle,Preda ,Poia,Bignaga,Fregoie,Prestinér,Macelér,scanaöcc,petònega,Marelöt,Nessun Dato,Nessun Dato,butù,Bagnàt,Nessun Dato,Nessun Dato,Maserét
40,Brumano,begarol,Porsèl,sébra,Leròi,Cudeghì,Gaiòfa,Telemora,tópa,Nessun Dato,Nessun Dato,Pedriöl,Corlass,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Panetér,Macelér,Nessun Dato,petònega,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Bagn,Nessun Dato,Nessun Dato,Mezz
41,Brusaporto,bigaröla,Sunì,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tarfù,Coèrcc,Solfanèl,Pedriöl,Podet,Scutì,Plòch,Poia,Bignaga,Migle,Fornér,Bechér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisì,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
42,Calcinate,bigaröla,Sunì,söbra,Orolòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,Scutine,Plòch,Poia,Bignaga,Migle,Fornér,Bechér,becaöcc,petònega,Pöt,l'ass de bastù,ol pisagì,bigol,Bagnàt,Piösna,l'ass de spade,Bagnàt
43,Calcio,scossalì,Roi,saàta,Orolòi,Strinù,Scarsèla,Talamora,tópa,Coèrcc,Solfanèl,Túrturì,Podet,s-cioparöle,Plòch,Galina,Mignaga,Migole,Fornér,Macelér,Nessun Dato,petònega,Pöt,ol bastù,l'ass de coppe,bigol,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
44,Calusco d'Adda,scussàl,Pursèl,sébra,Urlòi,Cudeghì,Sacòcia,Tiramola,tópa,Coèrcc,Solferì,Pedriöl,Pighess,s-ciuparöle,Sàss,Poia,Mignaga,Gandaie,Fornér,Macelér,becaöcc,petònega,Barba,l'ass de bastù,ol pisì,butù,Bagnàt,la borla,l'ass de spade,Maserét
45,Calvenzano,scossàl,Sunì,sébra,Relòi,Cudeghì,Sacòcia,Nessun Dato,Nessun Dato,Coèrcc,Fiamifer,Pedriöl,Nessun Dato,Nessun Dato,Sàss,Galina,Albicòch,Fregoie,Prestinér,Macelér,scanaöcc,petònega,Barba,l'ass de bastù,l'ass de coppe,Nessun Dato,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
46,Camerata Cornello,bigaröla,Porsèl,sibra,Leròi,Codeghì,Scarsèla,Tiramola,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Nessun Dato,Migole,Nessun Dato,Nessun Dato,Nessun Dato,petònega,Nessun Dato,l'ass de bastù,ol pisalobia,butù,Laát,la formaggia,l'ass de spade,Maser
47,Canonica d'Adda,bigaröla,Sunì,Nessun Dato,Relòi,Nessun Dato,Sacòcia,Tiramola,talpa,Coèrcc,sufranél,Pedriöl,Pighess,culumbine,Sàss,Poia,Albicòch,Fregoie,Prestinér,Bechér,Nessun Dato,petònega,Marèll,Nessun Dato,Nessun Dato,Nessun Dato,Bagnàt,Nessun Dato,Nessun Dato,Bagnàt
48,Capizzone,bigaröl,Sunì,sibra,Leròi,Codeghì,Gaiòfa,Telemora,tópa,Coèrcc,Solfanèl,Pedriöl,Pigassa,Nessun Dato,Sàss,Poia,Mignaga,Gandaie,Fornér,Macelér,becaöcc,petònega,Nessun Dato,l'ass de bastù,l'ass de coppe,Nessun Dato,Nessun Dato,la bola,l'ass de spade,Nessun Dato
49,Capriate San Gervasio,bigarla,Porsèl,sibra,Orolòi,Cudeghì,Sacòcia,Tiramola,Talpa,Coèrcc,Fiamifer,Pedriöl,Pighess,s-cioparöle,Plòch,Poia,Mignaga,Gandaie,Prestinér,Macelér,scanaöcc,petònega,Marèll,l'ass de bastù,ol pisì,butù,Bagnàt,la borla,l'ass de spade,Maserét
50,Caprino Bergamasco,scussàl,Ciù,sébra,Urlòi,Cudeghì,Sacòcia,Tiramola,tópa,Coèrcc,Sulfer ,Pedriöl,Pigazza,colombele,Sàss,Poia,Albicòch,Gandaie,Prestinér,Macelér,scanaöcc,petònega,Barba,l'ass de bastù,ol pisì,Nessun Dato,Bagnàt,Burtulí,l'ass de spade,Maserét
51,Caravaggio,scussalina,Pursèl,sébra,Orolòi,Cudeghì,Sacòcia,Talamora,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,s-ciuparöle,Sàss,Galina,Bignaga,Fregoie,Prestinér,Macelér,scanaöcc,petònega,Pöt,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
52,Carobbio degli Angeli,scossalina,Sunì,söbra,Orolòi,Strinù,Scarsèla,Tilamora,tópa,Coèrcc,Fiamifer,Pedriöl,Podet,Behcutí,Plòch,Poia,Bignaga,Migle,Fornér,Bechér,Nessun Dato,petònega,Pötvecc,Nessun Dato,Nessun Dato,butù,Bagnàt,Nessun Dato,Nessun Dato,Bagnàt
53,Carona,scossàl,Porsèl,sibra,Nessun Dato,Nessun Dato,Sacòcia,Ragnera ,Nessun Dato,Coèrcc,Fiamifer,Pedriöl,Nessun Dato,méche,Sàss,Poia,Nessun Dato,Nessun Dato,Panetèr ,Bechér,Nessun Dato,petònega,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Bagnàt,Nessun Dato,Nessun Dato,Bagnàt
54,Carvico,scussàl,Sunì,sébra,Urlòi,Cudeghì,Sacòcia,Tiramola,tópa,Coèrcc,Solferì,Pedriöl,Pighess,s-ciuparöle,Sàss,Poia,Mignaga,Gandaie,Prestinér,Macelér,becaöcc,petònega,Barba,l'ass de bastù,ol pisì,butù,Bagnàt,la borla,l'ass de spade,Maserét
55,Casazza,scossalina,Sunì,söbra,Orolòi,Strinù,Scarsèla,Tiramola,farfù,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Bignaga,Migle,Fornér,Bechér,becaöcc,petònega,Pötvecc,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
56,Casirate d'Adda,scossalina,Roi,saàta,Urelòc,Nessun Dato,Sacòcia,Taramola,tópa,Coèrcc,Solfanèl,Pedriöl,Pudaröl,méche,Sàss,Poia,Mugnaga ,Fregoie,Prestinér,Nessun Dato,becaöcc,zabèta,Barba,Nessun Dato,Nessun Dato,butù,Bagnàt,Nessun Dato,Nessun Dato,Maserét
57,Casnigo,bigaröl,Sunì,söbra,Leròi,Strinù,Gaiòfa,Telemora,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,melgà,Plòch,Poia,Mignaga,Migle,Fornér,Macelér,becaöcc,petònega,Pötvecc,l'ass de bastù,l'ass de coppe,butù dol veder,Bagnàt,l'ass de ori,l'ass de spade,Mez
58,Cassiglio,Nessun Dato,Porsèl,sébra,Leròi,Codeghì,Scarsèla,Talamora,tópa,Coèrcc,Solfanèl,Pedriöl,Fols,méche,Sàss,Galina,Nessun Dato,Nessun Dato,Fornér,Nessun Dato,becaöcc,petònega,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Bagnàt,Nessun Dato,Nessun Dato,Maser
59,Castel Rozzone,scossàl,Porsèl,sébra,Nessun Dato,Codeghì,Sacòcia,Tiramola,Nessun Dato,Coèrcc,Solfanèl,Pedriöl,Pighess,méche,Sàss,Galina,Mognaga,Nessun Dato,Prestinér,Macelér,scanaöcc,petònega,Marèll,Nessun Dato,Nessun Dato,butù,Bagnàt,Nessun Dato,Nessun Dato,Maserét
60,Castelli Calepio,bigaröl,Sunì,söbra,Orolòi,Cudeghì,Scarsèla,Talamora,Topina,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Mignaga,Migle,Fornér,Bechér,scanaöcc,petònega,Pöt,l'ass de bastù,ol pisalobia,bigol,Bagnàt,l'ass de ori,l'ass de spade,Trubatit
61,Castione della Presolana,bigaröl,Porsèl,saàta,Orolòi,Strinù,Gaiòfa,Telemora,Tupina,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Galina,Albicòch,Migole,Fornér,Macelér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisagì,Butù del veter,Bagnàt,La luna,l'ass de spade,Bagnàt
62,Castro,Nessun Dato,Nessun Dato,Nessun Dato,Relòi,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Cogol,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,petònega,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
63,Cavernago,bigaröla,Sunì,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Bignaga,Migle,Fornér,Bechér,becaöcc,petònega,Pöt,ol vincerai,ol pisagì,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
64,Cazzano Sant'Andrea,bigaröla,Sunì,Zöbra,Nessun Dato,Strinù,Gaiòfa,Telemora,topinéra,Coèrcc,Zàc,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Mignaga,Migle,Fornér,Bechér,becaöcc,petònega,Pötvecc,l'ass de bastù,ol pesacì,butù,Bagnàt,la pula,l'ass de spade,Mezz
65,Cenate Sopra,bigaröla,Sunì,sébra,Leròi,Codeghì,Scarsèla,Tiramora ,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,s-ciuparöle,Plòch,Poia,Bignaga,Migle,Fornér,Macelér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisalobia,butù,Bagnàt,ol bosla,l'ass de spade,Tròbatit
66,Cenate Sotto,scossàl,Sunì,sébra,Nessun Dato,"Strinù solo se accompagnato dal ""pà"" altrimenti salamella",Scarsèla,Tilamora,Nessun Dato,Coèrcc,Fölminànt,Pedriöl,Podet,Biscutì,Plòch,Poia,Bignaga,Nessun Dato,Fornér,Macelér,becaöcc,petònega,Pötvecc,Nessun Dato,Nessun Dato,butù,Bagnàt,Nessun Dato,Nessun Dato,Bagnàt
67,Cene,scossàl,Sunì,sébra,Orolòi,Strinù,Scarsèla,Tiramore,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,méche,Plòch,Poia,Bignaga,Migle,Fornér,Bechér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisalobia,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
68,Cerete,bigaröl,Porsèl,saàta,Nessun Dato,Strinù,Nessun Dato,tilemora,Nessun Dato,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Bignaga,Fregoie,Fornér,Bechér,becaöcc,petònega,Barba,ol vincerai,ol pisì,Nessun Dato,Méss,l'ass de ori,l'ass de spade,Méss cúss
69,Chignolo d'Isola,scussàl,Sunì,sébra,Urlòi,Cudeghì,Sacòcia,Tiramola,tarfù,Coèrcc,Solferì,Pedriöl,Pighess,méche,Sàss,Poia,Mignaga,Gandaie,Prestinér,Macelér,scanaöcc,petònega,Barba,l'ass de bastù,ol pisì,butù,Bagnàt,la borla,l'ass de spade,Maserét
