,Comune,Come dici grembiule?,Come dici maiale?,Come dici ciabatta?,Come dici orologio?,Come dici cotechino grigliato?,Come dici tasca?,Come dici ragnatela?,Come dici talpa?,Come dici coperchio?,Come dici Fiammifero?,Come dici Imbuto?,Come dici Roncola?,Come dici Pop Corn?,Come dici Sasso?,Come dici Gallina?,Come dici Albicocca?,Come dici Briciole?,Come dici Panettiere?,Come dici Macellaio?,Come dici Libellula?,Come dici Pettegola?,Come dici Scapolo?,Come dici l'Asso di Bastoni?,Come dici l'Asso di Coppe?,Come dici Ombelico?,Come dici Bagnato?,Come dici l'Asso di Ori?,Come dici l'Asso di Spade?,Come dici Fradicio?
142,Olmo al Brembo,Nessun Dato,Ciù,Nessun Dato,Nessun Dato,Nessun Dato,Scarsèla,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Corna,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
143,Oltre il Colle,bigaröla,Porsèl,sébra,Leròi,Codeghì,Gaiòfa,Tilimora,topinéra,Coèrcc,Solfanèl,Pedriöl,Corlass,s-ciüpi,Plòch,Poia,Bignaga,miglài,Fornér,Bechér,Nessun Dato,petònega,Pötvecc,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
144,Oltressenda Alta,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Gaiòfa,Nessun Dato,topinéra,Coèrcc,Solfanèl,Nessun Dato,Sblam,Bombaröi,Plòch,Poia,Nessun Dato,Migole,Fornér,Nessun Dato,Nessun Dato,petònega,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
145,Oneta,scussalina,Porsèl,sébra,Leròi,Codeghì,Gaiòfa,Telimora,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Bignaga,Migle,Fornér,Macelér,becaöcc,petònega,Pötvecc,Nessun Dato,Nessun Dato,butù,Bagnàt,Nessun Dato,Nessun Dato,Méss
146,Onore,bigaröla,Sunì,saàta,Leròi,Nessun Dato,Sacòcia,Telemora,Nessun Dato,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Nessun Dato,Migle,Fornér,Macelér,Nessun Dato,petònega,Pötvecc,ol vincerai,ol pisagì,butù,trebatit,l'ass de ori,l'ass de spade,mes trebatit
147,Orio al Serio,bigaröla,Nessun Dato,Nessun Dato,Orolòi,Nessun Dato,Nessun Dato,Sbursola,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Plòch,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,petònega,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Maserét
148,Ornica,scossàl,Nessun Dato,Zébra,Leròi,Codeghì,Scarsèla,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Pedriöl,Fols,méche,Cörna,Galina,Nessun Dato,Mögazza,Paneter ,Nessun Dato,Nessun Dato,Nessun Dato,Pöt,Nessun Dato,Nessun Dato,Nessun Dato,Masèr,Nessun Dato,Nessun Dato,Slòzz
149,Osio Sopra,scossàl,Porsèl,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Pighess,méche,Plòch,Poia,Mignaga,Migole,Fornér,Macelér,scanaöcc,petònega,Marèll,l'ass de bastù,ol pisì,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
150,Osio Sotto,bigaröla,Porsèl,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Pighess,méche,Sàss,Poia,Mignaga,Gandaie,Prestinér,Macelér,scanaöcc,petònega,Marèll,l'ass de bastù,ol pisì,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
151,Pagazzano,bigaröla,Porsèl,sébra,Orolòi,Nessun Dato,Sacòcia,Telemora,tópa,Coèrcc,Fiamifer,Pedriöl,Pighess,Nessun Dato,Plòch,Nessun Dato,Nessun Dato,Fregoie,Prestinér,Macelér,Nessun Dato,petònega,Maröc,ol vincerai,ol pisagì,butù,Bagnàt,la bola,Spadù,Maserét
152,Paladina,bigaröla,Porsèl,sibra,Leròi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Pighess,culumbine,Sàss,Poia,Bignaga,Migole,Fornér,Macelér,becaöcc,petònega,Barba,ol vincerai,ol pisì,butù,Bagnàt,ol borla,l'ass de spade,Bagnàt
153,Palazzago,bigaröla,Ciù,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Pigassa,s-cioparöle,Sàss,Poia,Mignaga,Migole,Fornér,Macelér,becaöcc,petònega,Barba,ol vincerai,ol pisalobia,butù,Bagnàt,la borla,l'ass de spade,Maserét
154,Palosco,bigaröl,Sunì,söbra,Leròi,Cudeghì,Scarsèla,Telemora,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Albicòch,Migole,Fornér,Bechér,Nessun Dato,petònega,Pöt,ol vincerai,ol pisagì,bigol,Bagnàt,la borla,l'ass de spade,Bagnàt
155,Parre,bigaröla,Porsèl,sébra,Leròi,Strinù,Gaiòfa,telimora,topinéra,Coèrcc,Fiamifer,Pedriöl,Podet,pop corn o poccorn,Plòch,Poia,Albicòch,Migole,paneter,Macelér,becaöcc,petònega,Pötvecc,ol bastù,ol pisagì,butù,Bagnàt,l'ass de ori,l'ass de spade,Mess
156,Parzanica,bigaröl,Nessun Dato,Nessun Dato,Orolòi,Strinù,Nessun Dato,Nessun Dato,tópa,Coèrcc,Fölminànt,Törtaröl,Pudett,Nessun Dato,Balót,Galina,Armignaga,Migole,Panetér,Macelér,Nessun Dato,petònega,Pöt,ol vincerai,ol pisalobia,butù,Bagnàt,Ol cül del nono,l'ass de spade,Bagnàt
157,Pedrengo,bigaröla,Sunì,sibra,Orolòi,Strinù,Scarsèla,Tiramola,tarfù,Coèrcc,Solfanèl,Pedriöl,Podet,méche,Plòch,Poia,Bignaga,Migle,Fornér,Macelér,becaöcc,petònega,Pötvecc,l'ass de bastù,l'ass de coppe,bigol,Bagnàt,la borla,l'ass de spade,Bagnàt
158,Peia,bigaröla,Sunì,söbra,Leròi,Strinù,Gaiòfa,Telemora,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Mignaga,Migle,Paneter,Macelér,becaöcc,petònega,Pötvecc,ol bastù,ol pisì,butù,Bagnàt,La cula,l'ass de spade,Mez
159,Pianico,bigaröla,Sunì,saàta,Leròi,Strinù,Scarsèla,Tilimora,Nessun Dato,Coèrcc,Fiamifer,Turtaröl,Podet,Nessun Dato,Plòch,Poia,Remignaga ,Nessun Dato,Fornér,Macelér,Nessun Dato,petònega,Pötvecc,Nessun Dato,Nessun Dato,butù,Bagnàt,Nessun Dato,Nessun Dato,Bagnàt
160,Piario,scussàl,Sunì,saàta,Leròi,Nessun Dato,Gaiòfa,Telimora,topinéra,Coèrcc,Fiamifer,Nessun Dato,Podet,Nessun Dato,Plòch,Poia,Bignaga,Migle,Fornér,Macelér,Nessun Dato,petònega,Pötvecc,l'ass de bastù,ol pisì,butù,Bagnàt,la bola,l'ass de spade,Méss
161,Piazza Brembana,scossàl,Porsèl,sébra,Orolòi,Codeghì,Scarsèla,Talamora,Nessun Dato,Coèrcc,Nessun Dato,Pedriöl,Fols,Nessun Dato,Sàss,Poia,Nessun Dato,Migole,Fornér,Macelér,Nessun Dato,petònega,Nessun Dato,Nessun Dato,Nessun Dato,Butulì del nono,Bagnàt,Nessun Dato,Nessun Dato,masero
162,Piazzatorre,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
163,Piazzolo,Nessun Dato,Nessun Dato,sibra,Nessun Dato,Cudeghì,Scarsèla,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Sblam,Bombaröi,Sàss,Nessun Dato,Albicòch,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
164,Pognano,scossàl,Porsèl,sibra,Nessun Dato,Nessun Dato,Nessun Dato,Telemora,Nessun Dato,Coèrcc,sonfanel,Pedriöl,Pighess,méche,Sàss,Poia,Nessun Dato,Fregoie,Panetér,Macelér,Libellula,petònega,Marèll,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
165,Ponte Nossa,bigaröla,Porsèl,sébra,Relòi,Strinù,Scarsèla,Telimora,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Albicòch,Migole,Fornér,Macelér,becaöcc,petònega,Pötvecc,l'ass de bastù,ol pisalobia,Nessun Dato,Méss,la formaggia,l'ass de spade,Imbrombèt
166,Ponte San Pietro,bigaröla,Sunì,sibra,Urlòi,Cudeghì,Scarsèla,Tiramola,tarfù,Coèrcc,Fiamifer,Pedriöl,Pighess,culumbine,Sàss,Poia,Mignaga,Gandaie,Fornér,Bechér,becaöcc,petònega,Barba,ol vincerai,ol pisì,butù,Bagnàt,ol borla,l'ass de spade,Maserét
167,Ponteranica,bigaröla,Sunì,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solferì,Pedriöl,Pighess,s-cioparöle,Plòch,Poia,Bignaga,Gandài,Fornér,Macelér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisagì,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
168,Pontida,bigarlì,Ciunì,sébra,Urlòi,Cudeghì,Sacòcia,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Pigassa,s-ciuparöle,Sàss,Poia,Mignaga,Gandaie,Fornér,Macelér,becaöcc,petònega,Barba,l'ass de bastù,l'ass de coppe,Nessun Dato,Bagnàt,la borla,l'ass de spade,Maserét
169,Pontirolo Nuovo,scussalina,Porsèl,sibra,Urlòi,Strinù,Sacòcia,Tiramola,tarfù,Coèrcc,Fiamifer,Pedriöl,Pighess,méche,Sàss,Galina,Albicòch,Fregoe,Prestinér,Macelér,becaöcc,petònega,Marèll,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
170,Pradalunga,bigaröla,Sunì,sébra,Leròi,Strinù,Scarsèla,Telemora,Trepuna,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Bignaga,Migle,Fornér,Bechér,becaöcc,petònega,Pötvecc,l'ass de bastù,ol pisalobia,butù,Bagnàt,La cüla,l'ass de spade,Bagnàt
171,Predore,scossàl,Sunì,sibra,Relòi,Strinù,Gaiòfa,Telemora,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,culumbine,Plòch,Poia,Nessun Dato,Migole,Nessun Dato,Bechér,Nessun Dato,petònega,Pötvecc,l'ass de bastù,ol pisì,bigol,Nessun Dato,ol borla,l'ass de spade,Nessun Dato
172,Premolo,scossàl,Porsèl,sébra,Leròi,Strinù,Gaiòfa,Telimora,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Mignaga,Migole,Fornér,Macelér,becaöcc,petònega,Pötvecc,ol vincerai,l'ass de coppe,butù,Bagnàt,la polenta,l'ass de spade,Méss
173,Presezzo,bigaröla,Sunì,sibra,Urlòi,Codeghì,Scarsèla,Tiramola,Tapa,Coèrcc,Fiamifer,Pedriöl,Podet,s-cioparöle,Sàss,Poia,Mignaga,Gandaie,Fornér,Bechér,becaöcc,petònega,Barba,l'ass de bastù,ol pisì,butù,Bagnàt,ol borla,l'ass de spade,Bagnàt
174,Pumenengo,scussàl,Roi,sibra,Orolòi,Nessun Dato,Sacòcia,Talamóra,Talpù,Nessun Dato,Nessun Dato,Nessun Dato,Podet,Nessun Dato,Plòch,Galina,Nessun Dato,Nessun Dato,Prestinér,Macelér,Nessun Dato,Nessun Dato,Nessun Dato,l'ass de bastù,l'ass de coppe,bigol,Nessun Dato,l'ass de ori,l'ass de spade,Nessun Dato
175,Ranica,bigaröla,Sunì,sibra,Leròi,Strinù,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Bignaga,Gandaie,Fornér,Macelér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisalobia,butù,Bagnàt,La polenta,l'ass de spade,Bagnàt
176,Ranzanico,bigaröl,Sunì,söbra,Nessun Dato,Strinù,Scarsèla,Tiramola,Nessun Dato,Coèrcc,Fölminànt,Nessun Dato,Podet,Nessun Dato,Plòch,Poia,Albicòch,Migle,Nessun Dato,Macelér,Nessun Dato,petònega,Pötvecc,Nessun Dato,Nessun Dato,butù,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
177,Riva di Solto,bigaröla,Porsèl,saàta,Leròi,Strinù,Scarsèla,Telemora,Nessun Dato,Coèrcc,Solfanèl,Turtaröl,Podéta,Nessun Dato,Plòch,Galina,Nessun Dato,Migole,Fornér,Macelér,Nessun Dato,petònega,Pötvecc,Nessun Dato,Nessun Dato,butù,Bagnàt,Nessun Dato,Nessun Dato,Bagnàt
178,Rogno,bigaröl,Porsèl,saàta,Nessun Dato,Strinù,Nessun Dato,Nessun Dato,Nessun Dato,Coèrcc,Solfanèl,Turtaröl,Podet,culumbine,Plòch,Galina,Nessun Dato,Migole,Fornér,Macelér,becaöcc,petònega,Pöt,Nessun Dato,Nessun Dato,bigol,Bagnàt,Nessun Dato,Nessun Dato,Miss bagnat
179,Romano di Lombardia,bigaröla,Porsèl,sibra,Orolòi,Strinù,Scarsèla,Talamora,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Albicòch,Migle,Fornér,Macelér,becaöcc,petònega,Pöt,l'ass de bastù,l'ass de coppe,bigol,Bagnàt,la bola,l'ass de spade,Bagnàt
180,Roncobello,scossàl,Porsèl,Sambróch,Leròi,Strinù,Scarsèla,Ragnáda,Nessun Dato,Coèrcc,Solfanèl,Pedriöl,Corlass,méche,Sàss,Galina,Bögnaga,Migole,Prestinér,Bechér,Nessun Dato,petònega,Pötvecc,l'ass de bastù,ol pisalobia,butù,Bagnàt,l'ass de ori,l'ass de spade,Cimbo
181,Roncola,Begaröl,Ciù,sébra,Nessun Dato,Codeghì,Gaiòfa,Telemora,Nessun Dato,Coèrcc,Nessun Dato,Pedriöl,Pighess,Nessun Dato,Sàss,Poia,Nessun Dato,Gandaie,Fornér,Macelér,becaöcc,zabèta,Barba,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
182,Rota d'Imagna,scossàl,Porsèl,sébra,Leròi,Cudeghì,Sacòcia,Nessun Dato,tópa,Coèrcc,Fiamifer,Pedriöl,Corlass,S-ciupú,Sàss,Galina,Nessun Dato,Nessun Dato,Fornér,Macelér,Nessun Dato,petònega,Nessun Dato,l'ass de bastù,l'ass de coppe,butù,Méss,la formaggia,l'ass de spade,Maserét
183,Rovetta,bigaröl,Pursèl,saàta,Leròi,Strinù,Gaiòfa,Telemora,topinéra,Coèrcc,Fiamifer,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Bignaga,Migole,Fornér,Bechér,Nessun Dato,petònega,Pötvecc,ol vincerai,ol pisagì,butù,Bagnàt,l'ass de ori,l'ass de spade,Méss
184,San Giovanni Bianco,scossàl,Porsèl,sibra,Leròi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Podet,méche,Sàss,Poia,Bignaga,Migole,Fornér,Bechér,becaöcc,petònega,Pötvecc,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Maser
185,San Paolo d'Argon,scossalina,Sunì,sibra,Relòi,Cudeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,S-ciopù,Plòch,Poia,Bignaga,Migle,Fornér,Macelér,becaöcc,petònega,Pötvecc,l'ass de bastù,ol pisagì,butù,Bagnàt,La busna,l'ass de spade,Bagnàt
186,San Pellegrino Terme,scossàl,Porsèl,sibra,Leròi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Corlass,méche,Plòch,Poia,Bignaga,Migole,Fornér,Bechér,becaöcc,petònega,Pötvecc,l'ass de bastù,ol pisalobia,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
187,Sant'Omobono Terme,bigaröl,Porsèl,sébra,Leròi,Codeghì,Gaiòfa,Telemora,tópa,Coèrcc,Fiamifer,Pedriöl,Corlass,s-cioparöle,Sàss,Galina,Albicòch,Gandaie,Fornér,Macelér,becaöcc,petònega,Barba,ol vincerai,ol pisalobia,butù,Bagnàt,l'ass de ori,l'ass de spade,Mézz
188,Santa Brigida,bigaröla,Porsèl,sébra,Leròi,Codeghì,Scarsèla,Tiramola,Nessun Dato,Coèrcc,Fiamifer,Pedriöl,Fols,méche,Sàss,Galina,Bignaga,Migole,Prestinér,Macelér,Nessun Dato,petònega,Nessun Dato,Nessun Dato,Nessun Dato,butù,Bagnàt,Nessun Dato,Nessun Dato,Bagnàt
189,Sarnico,bigaröl,Sunì,saàta,Relòi,Strinù,Gaiòfa,Telemora,Nessun Dato,Coèrcc,Nessun Dato,Turtaröl,Podet,colombine,Plòch,Poia,Bignaga,Migole,Fornér,Macelér,Nessun Dato,petònega,Barbì,ol vincerai,l'ass de coppe,bigol,Bagnàt,La polenta,l'ass de spade,Bagnàt
190,Scanzorosciate,bigaröla,Sunì,sibra,Relòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,culumbine,Plòch,Poia,Bignaga,Migole,Fornér,Bechér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisalobia,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
191,Schilpario,bigaröl,Pursèl,Sibratula,Relòi,Strinù,Sachelò,Telemora,Nessun Dato,Coèrcc,Sulfanèl,Pedriöl,Podet,Nessun Dato,Còrnó,Galina,Albicòch,Migule,Fornér,Bechér,Nessun Dato,petònega,Nessun Dato,Nessun Dato,Nessun Dato,butù dol veter,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
192,Sedrina,scossàl,Porsèl,sibra,Leròi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Corlass,s-cioparöle,Plòch,Poia,Bignaga,Gandài,Fornér,Macelér,becaöcc,petònega,Pöt,l'ass de bastù,ol pisalobia,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
193,Selvino,bigaröla,Porsèl,sébra,Orolòi,Codeghì,Scarsèla,Telemora,topinéra,Coèrcc,Fiamifer,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Albicòch,Nessun Dato,Fornér,Macelér,becaöcc,petònega,Pötvecc,ol vincerai,l'ass de coppe,butù,Bagnàt,Culo,l'ass de spade,Bagnàt
194,Seriate,bigaröla,Sunì,sibra,Orolòi,Strinù,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Pighess,s-cioparöle,Plòch,Poia,Bignaga,Migole,Fornér,Macelér,becaöcc,petònega,Barbì,ol vincerai,ol pisagì,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
195,Serina,bigaröl,Porsèl,sibra,Leròi,Codeghì,Gaiòfa,Telemora,topinéra,Coèrcc,Solfanèl,Pedriöl,Corlass,Nessun Dato,Plòch,Poia,Bignaga,Gandài,Paneter,Macelér,becaöcc,petònega,Barba,ol vincerai,ol pisalobia,Burlì,Bagnàt,Ol cülatù,l'ass de spade,Maserét
196,Solto Collina,bigaröla,Porsèl,söbra,Nessun Dato,Strinù,Scarsèla,Telemora,Nessun Dato,Coèrcc,Nessun Dato,Tortáröl ,Podeta ,Nessun Dato,Balót ,Poia,Nessun Dato,Nessun Dato,Nessun Dato,Bèchér ,Càhàöcc,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
197,Solza,scossàl,Sunì,sébra,Urlòi,Cudeghì,Sacòcia,Tiramola,tópa,Coèrcc,Solferì,Pedriöl,Pighess,Nessun Dato,Plòch,Poia,Mignaga,Gandaie,Prestinér,Bechér,becaöcc,petònega,Marèll,ol vincerai,ol pisì,butù,Bagnàt,ol borla,l'ass de spade,Maserét
198,Songavazzo,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Strinù,Nessun Dato,Nessun Dato,Toppignera ,Nessun Dato,Nessun Dato,Nessun Dato,Podet,Nessun Dato,Nessun Dato,Poia,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,butù,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
199,Sorisole,bigaröl,Cì,sibra,Orolòi,Codeghì,Scarsèla,Telemora,tópa,Coèrcc,Solfanèl,Pedriöl,Pighess,culumbine,Sàss,Poia,Bignaga,Migole,Fornér,Bechér,becaöcc,petònega,Pötvecc,l'ass de bastù,ol pisagì,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
200,Sotto il Monte Giovanni XXIII,scossalina,Sunì,sébra,Urlòi,Cudeghì,Sacòcia,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Pighess,s-cioparöle,Sàss,Poia,Mignaga,Gandaie,Fornér,Bechér,becaöcc,petònega,Barba,ol vincerai,ol pisì,butù,Bagnàt,ol borla,l'ass de spade,Maserét
201,Sovere,bigaröla,Porsèl,saàta,Leròi,Strinù,Scarsèla,Telemora,tarfù,Coèrcc,Fiamifer,Turtaröl,Podet,s-cioparöle,Plòch,Poia,Albicòch,Migole,Fornér,Bechér,becaöcc,petònega,Pötvecc,l'ass de bastù,ol pisagì,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
202,Spinone al Lago,scossàl,Sunì,söbra,Leròi,Cudeghì,Scarsèla,Talamora,Nessun Dato,Coèrcc,Fölminànt,Pedriöl,Podeta,Nessun Dato,Plòch,Poia,Mignaga,Brise,Nessun Dato,Bechér,becaöcc,petònega,Pötvecc,l'ass de bastù,ol pisì,butù,Bagnàt,La pucia ,l'ass de spade,Trebatit
203,Spirano,bigaröla,Porsèl,sibra,Orolòi,Cudeghì,Scarsèla,Tiramola,topinéra,Coèrcc,Solfanèl,Pedriöl,Pighess,méche,Sàss,Poia,Mignaga,Fregoie,Fornér,Macelér,becaöcc,petònega,Pöt,l'ass de bastù,l'ass de coppe,butù,Bagnàt,la lola,l'ass de spade,Maserét
204,Stezzano,bigaröla,Sunì,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Pighess,culumbine,Sàss,Poia,Bignaga,Migole,Fornér,Macelér,becaöcc,petònega,Pötvecc,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
205,Strozza,scossalì,Ciù,sibra,Nessun Dato,Cudeghì,Nessun Dato,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Pigassa,s-cioparöle,Sàss,Poia,Nessun Dato,Migole,Fornér,Firlo,becaöcc,tofa,Barba,l'ass de bastù,ol pisalobia,butù,Bagnàt,ol borla,l'ass de spade,Bagnàt
206,Suisio,bigarla,Pursèl,sébra,Urlòi,Cudeghì,Sacòcia,Tiramola,tópa,Coèrcc,Solferì,Pedriöl,Pighess,méche,Sàss,Poia,Mignaga,Gandaie,Fornér,Macelér,becaöcc,petònega,Barba,l'ass de bastù,ol pisì,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
207,Taleggio,scossàl,Porsèl,sibra,Rolòi,Codeghì,Sacòcia,Talimora ,tópa,Coèrcc,Fiamifer,Pedriöl,Corlass,s-cioparöle,Corna,Poia,Bignaga,Nessun Dato,Fornér,Nessun Dato,Nessun Dato,petònega,Nessun Dato,Nessun Dato,Nessun Dato,butù,Méss,Nessun Dato,Nessun Dato,Maser
208,Tavernola Bergamasca,bigaröl,Sunì,Nessun Dato,Leròi,Strinù,Scarsèla,Talamora,Nessun Dato,Coèrcc,Solfanèl,Turtaröl,Pudeta,s-cioparöle,Plòch,Galina,Albicocca,Migole,Paneter,Macelér,becaöcc,petònega,Pöt,ol vincerai,ol pisalobia,bigol,Bagnàt,la borla,l'ass de spade,Bagnàt
209,Telgate,grembiül o bigaröl,Sunì,söbra,Nessun Dato,Cudeghì,Scarsèla,Nessun Dato,tarfù,Coèrcc,Fiamifer,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Bignaga,Nessun Dato,Fornér,Macelér,Nessun Dato,petònega,Barbì,l'ass de bastù,ol pisalobia,Nessun Dato,Bagnàt,l'ass de ori,l'ass de spade,Trùbatit
210,Terno d'Isola,scussàl,Sunì,sébra,Urlòi,Cudeghì,Sacòcia,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Pighess,méche,Sàss,Poia,Mignaga,Gandaie,Fornér,Bechér,scanaöcc,petònega,Barba,ol vincerai,ol pisì,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
211,Torre Boldone,bigaröla,Sunì,sibra,Orolòi,Strinù,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,culumbine,Plòch,Poia,Bignaga,Gandaie,Fornér,Macelér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisalobia,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
212,Torre Pallavicina,scossalina,Sunì,sibra,Nessun Dato,Cudeghì,Sacòcia,Nessun Dato,Nessun Dato,Coèrcc,Solferì,Nessun Dato,Podet,Nessun Dato,Plòch,Nessun Dato,Albicòch,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,petònega,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
213,Torre de' Busi,scossàl,Ciunì,Nessun Dato,Urlòi,Cudeghì,Sacòcia,Porana,Nessun Dato,Coèrcc,Zufranel,Pedriöl,Pigazzot,Nessun Dato,Plòch,Galina,Mügnaga,Gandaie,Prestinér,Macelér,becaöcc,petònega,Marèll,Nessun Dato,Nessun Dato,butù,Bagnàt,Nessun Dato,Nessun Dato,Maserét
214,Torre de' Roveri,Nessun Dato,Sunì,sibra,Orolòi,Cudeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Bignaga,Nessun Dato,Fornér,Bechér,becaöcc,petònega,Marèll,ol bastù,ol pisagì,butù,Bagnàt,la borla,l'ass de spade,Bagnàt
